id;quarter;stock;date;open;high;low;close;volume;percent_change_price;percent_change_volume_over_last_week;previous_weeks_volume;next_weeks_open;next_weeks_close;percent_change_next_weeks_price;days_to_next_dividend;percent_return_next_dividend
1;4;Organ;2020-10-13;7404;60620;3786;48360;81295;5373;52000;26659;18425;92238;13308;34454;48350
2;1;Devel;2020-10-13;99631;57027;29249;17382;19475;48570;79233;67342;12540;85150;26371;5418;41490
3;2;RSS;2020-10-13;97422;12121;65538;16627;79336;17992;1607;64884;28821;65306;49080;45590;26831
4;2;Belar;2020-10-13;24671;66170;56144;16640;98379;16040;7174;73524;18406;70502;43803;74793;28328
5;1;holis;2020-10-13;62289;88368;62160;80426;27844;68998;83237;8853;43871;17260;46121;42301;11628
6;3;Stree;2020-10-13;62219;67830;41149;80353;67492;57072;58092;27771;26853;72779;53315;31137;7370
7;4;Tacti;2020-10-13;74217;59775;21608;45032;88001;50044;35630;9294;24909;74976;13232;3289;3937
8;3;reinv;2020-10-13;90371;84575;58225;45160;25957;41126;88968;96731;64184;36702;1191;39023;56319
9;4;Color;2020-10-13;21947;6318;83266;15874;18827;8361;78139;46581;46582;8942;47265;46695;23383
10;4;Bond ;2020-10-13;65892;62657;84322;91263;2093;75382;89789;84246;70265;23148;44215;43294;68919
